,Gemeinde/Stadt,Pos in Qua
0,Allershausen,13
1,Attenkirchen,3
2,Au i.d.Hallertau,19
3,Eching – Oberbayern,49
4,Fahrenzhausen,10
5,Freising,197
6,Gammelsdorf,3
7,Haag a.d.Amper,5
8,Hallbergmoos,34
9,Hohenkammer,11
10,Hörgertshausen,3
11,Kirchdorf a.d.Amper,12
12,Kranzberg,10
13,Langenbach,5
14,Marzling,5
15,Mauern,2
16,Moosburg a.d.Isar,60
17,Nandlstadt,8
18,Neufahrn b.Freising,41
19,Paunzhausen,2
20,Rudelzhausen,14
21,Wang,6
22,Wolfersdorf,5
23,Zolling,14
