,AGS,Gemeinde/Stadt,Pos in Qua
0,85391,Allershausen,12
1,85395,Attenkirchen,5
2,84072,Au i.d.Hallertau,25
3,85386,Eching – Oberbayern,49
4,85777,Fahrenzhausen,9
5,85356,Freising,177
6,85408,Gammelsdorf,13
7,85410,Haag a.d.Amper,7
8,85399,Hallbergmoos,32
9,85411,Hohenkammer,17
10,85413,Hörgertshausen,4
11,85414,Kirchdorf a.d.Amper,9
12,85402,Kranzberg,9
13,85416,Langenbach,12
14,85417,Marzling,11
15,85419,Mauern,11
16,85368,Moosburg a.d.Isar,61
17,85405,Nandlstadt,21
18,85376,Neufahrn b.Freising,74
19,85307,Paunzhausen,5
20,84104,Rudelzhausen,20
21,85368,Wang,10
22,85395,Wolfersdorf,1
23,85406,Zolling,5
