,AGS,Gemeinde/Stadt,Pos in Qua
0,85391,Allershausen,28
1,85395,Attenkirchen,1
2,84072,Au i.d.Hallertau,12
3,85386,Eching – Oberbayern,24
4,85777,Fahrenzhausen,10
5,85356,Freising,83
6,85408,Gammelsdorf,1
7,85410,Haag a.d.Amper,6
8,85399,Hallbergmoos,11
9,85411,Hohenkammer,1
10,85413,Hörgertshausen,1
11,85414,Kirchdorf a.d.Amper,3
12,85402,Kranzberg,11
13,85416,Langenbach,6
14,85417,Marzling,1
15,85419,Mauern,3
16,85368,Moosburg a.d.Isar,52
17,85405,Nandlstadt,4
18,85376,Neufahrn b.Freising,40
19,85307,Paunzhausen,1
20,84104,Rudelzhausen,6
21,85368,Wang,0
22,85395,Wolfersdorf,5
23,85406,Zolling,4
