,Gemeinde/Stadt,Pos in Qua
0,Allershausen,3
1,Attenkirchen,0
2,Au i.d.Hallertau,4
3,Eching – Oberbayern,4
4,Fahrenzhausen,1
5,Freising,22
6,Gammelsdorf,1
7,Haag a.d.Amper,0
8,Hallbergmoos,3
9,Hohenkammer,1
10,Hörgertshausen,0
11,Kirchdorf a.d.Amper,0
12,Kranzberg,2
13,Langenbach,1
14,Marzling,0
15,Mauern,0
16,Moosburg a.d.Isar,8
17,Nandlstadt,0
18,Neufahrn b.Freising,11
19,Paunzhausen,2
20,Rudelzhausen,2
21,Wang,9
22,Wolfersdorf,0
23,Zolling,2
