,AGS,Gemeinde/Stadt,Pos in Qua
0,85391,Allershausen,40
1,85395,Attenkirchen,33
2,84072,Au i.d.Hallertau,86
3,85386,Eching – Oberbayern,129
4,85777,Fahrenzhausen,69
5,85356,Freising,283
6,85408,Gammelsdorf,21
7,85410,Haag a.d.Amper,19
8,85399,Hallbergmoos,165
9,85411,Hohenkammer,16
10,85413,Hörgertshausen,30
11,85414,Kirchdorf a.d.Amper,19
12,85402,Kranzberg,37
13,85416,Langenbach,28
14,85417,Marzling,19
15,85419,Mauern,31
16,85368,Moosburg a.d.Isar,149
17,85405,Nandlstadt,61
18,85376,Neufahrn b.Freising,202
19,85307,Paunzhausen,14
20,84104,Rudelzhausen,37
21,85368,Wang,27
22,85395,Wolfersdorf,46
23,85406,Zolling,49
