,AGS,Gemeinde/Stadt,Pos in Qua
0,85391,Allershausen,11
1,85395,Attenkirchen,15
2,84072,Au i.d.Hallertau,43
3,85386,Eching – Oberbayern,75
4,85777,Fahrenzhausen,17
5,85356,Freising,201
6,85408,Gammelsdorf,5
7,85410,Haag a.d.Amper,14
8,85399,Hallbergmoos,51
9,85411,Hohenkammer,16
10,85413,Hörgertshausen,10
11,85414,Kirchdorf a.d.Amper,15
12,85402,Kranzberg,16
13,85416,Langenbach,12
14,85417,Marzling,25
15,85419,Mauern,5
16,85368,Moosburg a.d.Isar,96
17,85405,Nandlstadt,27
18,85376,Neufahrn b.Freising,96
19,85307,Paunzhausen,8
20,84104,Rudelzhausen,25
21,85368,Wang,20
22,85395,Wolfersdorf,3
23,85406,Zolling,11
