,AGS,Gemeinde/Stadt,Pos in Qua
0,85391,Allershausen,12
1,85395,Attenkirchen,4
2,84072,Au i.d.Hallertau,7
3,85386,Eching – Oberbayern,21
4,85777,Fahrenzhausen,5
5,85356,Freising,73
6,85408,Gammelsdorf,1
7,85410,Haag a.d.Amper,4
8,85399,Hallbergmoos,20
9,85411,Hohenkammer,1
10,85413,Hörgertshausen,2
11,85414,Kirchdorf a.d.Amper,2
12,85402,Kranzberg,5
13,85416,Langenbach,4
14,85417,Marzling,4
15,85419,Mauern,0
16,85368,Moosburg a.d.Isar,51
17,85405,Nandlstadt,8
18,85376,Neufahrn b.Freising,51
19,85307,Paunzhausen,0
20,84104,Rudelzhausen,5
21,85368,Wang,3
22,85395,Wolfersdorf,2
23,85406,Zolling,4
