,AGS,Gemeinde/Stadt,Pos in Qua
0,85391,Allershausen,19
1,85395,Attenkirchen,28
2,84072,Au i.d.Hallertau,63
3,85386,Eching – Oberbayern,88
4,85777,Fahrenzhausen,28
5,85356,Freising,246
6,85408,Gammelsdorf,9
7,85410,Haag a.d.Amper,20
8,85399,Hallbergmoos,62
9,85411,Hohenkammer,15
10,85413,Hörgertshausen,15
11,85414,Kirchdorf a.d.Amper,28
12,85402,Kranzberg,17
13,85416,Langenbach,15
14,85417,Marzling,36
15,85419,Mauern,12
16,85368,Moosburg a.d.Isar,130
17,85405,Nandlstadt,27
18,85376,Neufahrn b.Freising,118
19,85307,Paunzhausen,13
20,84104,Rudelzhausen,27
21,85368,Wang,18
22,85395,Wolfersdorf,15
23,85406,Zolling,19
