,AGS,Gemeinde/Stadt,Pos in Qua
0,85391,Allershausen,35
1,85395,Attenkirchen,41
2,84072,Au i.d.Hallertau,95
3,85386,Eching – Oberbayern,105
4,85777,Fahrenzhausen,88
5,85356,Freising,321
6,85408,Gammelsdorf,22
7,85410,Haag a.d.Amper,18
8,85399,Hallbergmoos,152
9,85411,Hohenkammer,13
10,85413,Hörgertshausen,33
11,85414,Kirchdorf a.d.Amper,25
12,85402,Kranzberg,64
13,85416,Langenbach,25
14,85417,Marzling,25
15,85419,Mauern,42
16,85368,Moosburg a.d.Isar,166
17,85405,Nandlstadt,69
18,85376,Neufahrn b.Freising,232
19,85307,Paunzhausen,17
20,84104,Rudelzhausen,39
21,85368,Wang,28
22,85395,Wolfersdorf,54
23,85406,Zolling,51
