,AGS,Gemeinde/Stadt,Pos in Qua
0,85391,Allershausen,22
1,85395,Attenkirchen,31
2,84072,Au i.d.Hallertau,69
3,85386,Eching – Oberbayern,95
4,85777,Fahrenzhausen,31
5,85356,Freising,253
6,85408,Gammelsdorf,10
7,85410,Haag a.d.Amper,23
8,85399,Hallbergmoos,72
9,85411,Hohenkammer,15
10,85413,Hörgertshausen,16
11,85414,Kirchdorf a.d.Amper,30
12,85402,Kranzberg,19
13,85416,Langenbach,16
14,85417,Marzling,38
15,85419,Mauern,12
16,85368,Moosburg a.d.Isar,146
17,85405,Nandlstadt,24
18,85376,Neufahrn b.Freising,113
19,85307,Paunzhausen,15
20,84104,Rudelzhausen,26
21,85368,Wang,19
22,85395,Wolfersdorf,15
23,85406,Zolling,21
