,AGS,Gemeinde/Stadt,Pos in Qua
0,85391,Allershausen,39
1,85395,Attenkirchen,14
2,84072,Au i.d.Hallertau,54
3,85386,Eching – Oberbayern,130
4,85777,Fahrenzhausen,31
5,85356,Freising,224
6,85408,Gammelsdorf,12
7,85410,Haag a.d.Amper,12
8,85399,Hallbergmoos,101
9,85411,Hohenkammer,14
10,85413,Hörgertshausen,23
11,85414,Kirchdorf a.d.Amper,13
12,85402,Kranzberg,17
13,85416,Langenbach,16
14,85417,Marzling,21
15,85419,Mauern,23
16,85368,Moosburg a.d.Isar,104
17,85405,Nandlstadt,42
18,85376,Neufahrn b.Freising,174
19,85307,Paunzhausen,8
20,84104,Rudelzhausen,33
21,85368,Wang,18
22,85395,Wolfersdorf,18
23,85406,Zolling,48
