,Gemeinde/Stadt,Pos in Qua
0,Allershausen,10
1,Attenkirchen,2
2,Au i.d.Hallertau,9
3,Eching – Oberbayern,32
4,Fahrenzhausen,9
5,Freising,100
6,Gammelsdorf,2
7,Haag a.d.Amper,3
8,Hallbergmoos,26
9,Hohenkammer,1
10,Hörgertshausen,1
11,Kirchdorf a.d.Amper,8
12,Kranzberg,1
13,Langenbach,3
14,Marzling,6
15,Mauern,1
16,Moosburg a.d.Isar,28
17,Nandlstadt,15
18,Neufahrn b.Freising,27
19,Paunzhausen,0
20,Rudelzhausen,14
21,Wang,3
22,Wolfersdorf,3
23,Zolling,17
