,AGS,Gemeinde/Stadt,Pos in Qua
0,85391,Allershausen,16
1,85395,Attenkirchen,2
2,84072,Au i.d.Hallertau,21
3,85386,Eching – Oberbayern,37
4,85777,Fahrenzhausen,9
5,85356,Freising,81
6,85408,Gammelsdorf,8
7,85410,Haag a.d.Amper,7
8,85399,Hallbergmoos,24
9,85411,Hohenkammer,28
10,85413,Hörgertshausen,2
11,85414,Kirchdorf a.d.Amper,3
12,85402,Kranzberg,8
13,85416,Langenbach,12
14,85417,Marzling,3
15,85419,Mauern,10
16,85368,Moosburg a.d.Isar,41
17,85405,Nandlstadt,14
18,85376,Neufahrn b.Freising,53
19,85307,Paunzhausen,3
20,84104,Rudelzhausen,8
21,85368,Wang,2
22,85395,Wolfersdorf,0
23,85406,Zolling,3
