,AGS,Gemeinde/Stadt,Pos in Qua
0,85391,Allershausen,17
1,85395,Attenkirchen,9
2,84072,Au i.d.Hallertau,31
3,85386,Eching – Oberbayern,53
4,85777,Fahrenzhausen,10
5,85356,Freising,132
6,85408,Gammelsdorf,3
7,85410,Haag a.d.Amper,5
8,85399,Hallbergmoos,29
9,85411,Hohenkammer,4
10,85413,Hörgertshausen,4
11,85414,Kirchdorf a.d.Amper,18
12,85402,Kranzberg,13
13,85416,Langenbach,14
14,85417,Marzling,12
15,85419,Mauern,2
16,85368,Moosburg a.d.Isar,62
17,85405,Nandlstadt,7
18,85376,Neufahrn b.Freising,104
19,85307,Paunzhausen,6
20,84104,Rudelzhausen,18
21,85368,Wang,2
22,85395,Wolfersdorf,14
23,85406,Zolling,16
