,AGS,Gemeinde/Stadt,Pos in Qua
0,85391,Allershausen,25
1,85395,Attenkirchen,2
2,84072,Au i.d.Hallertau,11
3,85386,Eching – Oberbayern,12
4,85777,Fahrenzhausen,15
5,85356,Freising,116
6,85408,Gammelsdorf,1
7,85410,Haag a.d.Amper,3
8,85399,Hallbergmoos,25
9,85411,Hohenkammer,4
10,85413,Hörgertshausen,2
11,85414,Kirchdorf a.d.Amper,6
12,85402,Kranzberg,13
13,85416,Langenbach,4
14,85417,Marzling,5
15,85419,Mauern,1
16,85368,Moosburg a.d.Isar,24
17,85405,Nandlstadt,6
18,85376,Neufahrn b.Freising,25
19,85307,Paunzhausen,1
20,84104,Rudelzhausen,4
21,85368,Wang,1
22,85395,Wolfersdorf,4
23,85406,Zolling,7
