,Gemeinde/Stadt,Pos in Qua
0,Allershausen,4
1,Attenkirchen,0
2,Au i.d.Hallertau,3
3,Eching – Oberbayern,5
4,Fahrenzhausen,0
5,Freising,25
6,Gammelsdorf,3
7,Haag a.d.Amper,0
8,Hallbergmoos,2
9,Hohenkammer,1
10,Hörgertshausen,0
11,Kirchdorf a.d.Amper,0
12,Kranzberg,2
13,Langenbach,0
14,Marzling,0
15,Mauern,0
16,Moosburg a.d.Isar,7
17,Nandlstadt,0
18,Neufahrn b.Freising,14
19,Paunzhausen,1
20,Rudelzhausen,1
21,Wang,8
22,Wolfersdorf,0
23,Zolling,2
