,AGS,Gemeinde/Stadt,Pos in Qua
0,85391,Allershausen,42
1,85395,Attenkirchen,36
2,84072,Au i.d.Hallertau,107
3,85386,Eching – Oberbayern,135
4,85777,Fahrenzhausen,67
5,85356,Freising,343
6,85408,Gammelsdorf,7
7,85410,Haag a.d.Amper,24
8,85399,Hallbergmoos,103
9,85411,Hohenkammer,15
10,85413,Hörgertshausen,25
11,85414,Kirchdorf a.d.Amper,45
12,85402,Kranzberg,105
13,85416,Langenbach,25
14,85417,Marzling,40
15,85419,Mauern,27
16,85368,Moosburg a.d.Isar,180
17,85405,Nandlstadt,42
18,85376,Neufahrn b.Freising,167
19,85307,Paunzhausen,20
20,84104,Rudelzhausen,38
21,85368,Wang,23
22,85395,Wolfersdorf,42
23,85406,Zolling,53
