,AGS,Gemeinde/Stadt,Pos in Qua
0,85391,Allershausen,17
1,85395,Attenkirchen,21
2,84072,Au i.d.Hallertau,51
3,85386,Eching – Oberbayern,81
4,85777,Fahrenzhausen,24
5,85356,Freising,219
6,85408,Gammelsdorf,10
7,85410,Haag a.d.Amper,20
8,85399,Hallbergmoos,60
9,85411,Hohenkammer,19
10,85413,Hörgertshausen,14
11,85414,Kirchdorf a.d.Amper,23
12,85402,Kranzberg,18
13,85416,Langenbach,13
14,85417,Marzling,34
15,85419,Mauern,8
16,85368,Moosburg a.d.Isar,107
17,85405,Nandlstadt,24
18,85376,Neufahrn b.Freising,105
19,85307,Paunzhausen,12
20,84104,Rudelzhausen,25
21,85368,Wang,19
22,85395,Wolfersdorf,9
23,85406,Zolling,20
