,AGS,Gemeinde/Stadt,Pos in Qua
0,85391,Allershausen,40
1,85395,Attenkirchen,13
2,84072,Au i.d.Hallertau,58
3,85386,Eching – Oberbayern,125
4,85777,Fahrenzhausen,33
5,85356,Freising,231
6,85408,Gammelsdorf,13
7,85410,Haag a.d.Amper,13
8,85399,Hallbergmoos,106
9,85411,Hohenkammer,14
10,85413,Hörgertshausen,25
11,85414,Kirchdorf a.d.Amper,14
12,85402,Kranzberg,18
13,85416,Langenbach,25
14,85417,Marzling,23
15,85419,Mauern,22
16,85368,Moosburg a.d.Isar,98
17,85405,Nandlstadt,49
18,85376,Neufahrn b.Freising,157
19,85307,Paunzhausen,11
20,84104,Rudelzhausen,31
21,85368,Wang,19
22,85395,Wolfersdorf,19
23,85406,Zolling,48
