,AGS,Gemeinde/Stadt,Pos in Qua
0,85391,Allershausen,40
1,85395,Attenkirchen,35
2,84072,Au i.d.Hallertau,107
3,85386,Eching – Oberbayern,117
4,85777,Fahrenzhausen,66
5,85356,Freising,319
6,85408,Gammelsdorf,7
7,85410,Haag a.d.Amper,20
8,85399,Hallbergmoos,97
9,85411,Hohenkammer,13
10,85413,Hörgertshausen,25
11,85414,Kirchdorf a.d.Amper,41
12,85402,Kranzberg,104
13,85416,Langenbach,22
14,85417,Marzling,36
15,85419,Mauern,27
16,85368,Moosburg a.d.Isar,169
17,85405,Nandlstadt,42
18,85376,Neufahrn b.Freising,149
19,85307,Paunzhausen,20
20,84104,Rudelzhausen,33
21,85368,Wang,22
22,85395,Wolfersdorf,39
23,85406,Zolling,51
