,AGS,Gemeinde/Stadt,Pos in Qua
0,85391,Allershausen,39
1,85395,Attenkirchen,43
2,84072,Au i.d.Hallertau,106
3,85386,Eching – Oberbayern,104
4,85777,Fahrenzhausen,88
5,85356,Freising,339
6,85408,Gammelsdorf,24
7,85410,Haag a.d.Amper,22
8,85399,Hallbergmoos,133
9,85411,Hohenkammer,15
10,85413,Hörgertshausen,28
11,85414,Kirchdorf a.d.Amper,32
12,85402,Kranzberg,86
13,85416,Langenbach,29
14,85417,Marzling,31
15,85419,Mauern,54
16,85368,Moosburg a.d.Isar,167
17,85405,Nandlstadt,63
18,85376,Neufahrn b.Freising,230
19,85307,Paunzhausen,18
20,84104,Rudelzhausen,39
21,85368,Wang,36
22,85395,Wolfersdorf,48
23,85406,Zolling,55
