,AGS,Gemeinde/Stadt,Pos in Qua
0,85391,Allershausen,40
1,85395,Attenkirchen,43
2,84072,Au i.d.Hallertau,113
3,85386,Eching – Oberbayern,102
4,85777,Fahrenzhausen,92
5,85356,Freising,351
6,85408,Gammelsdorf,22
7,85410,Haag a.d.Amper,22
8,85399,Hallbergmoos,119
9,85411,Hohenkammer,16
10,85413,Hörgertshausen,28
11,85414,Kirchdorf a.d.Amper,36
12,85402,Kranzberg,88
13,85416,Langenbach,25
14,85417,Marzling,31
15,85419,Mauern,54
16,85368,Moosburg a.d.Isar,174
17,85405,Nandlstadt,57
18,85376,Neufahrn b.Freising,223
19,85307,Paunzhausen,16
20,84104,Rudelzhausen,37
21,85368,Wang,33
22,85395,Wolfersdorf,47
23,85406,Zolling,58
