,AGS,Gemeinde/Stadt,Pos in Qua
0,85391,Allershausen,16
1,85395,Attenkirchen,4
2,84072,Au i.d.Hallertau,8
3,85386,Eching – Oberbayern,22
4,85777,Fahrenzhausen,8
5,85356,Freising,65
6,85408,Gammelsdorf,1
7,85410,Haag a.d.Amper,4
8,85399,Hallbergmoos,4
9,85411,Hohenkammer,2
10,85413,Hörgertshausen,3
11,85414,Kirchdorf a.d.Amper,0
12,85402,Kranzberg,11
13,85416,Langenbach,6
14,85417,Marzling,3
15,85419,Mauern,2
16,85368,Moosburg a.d.Isar,53
17,85405,Nandlstadt,8
18,85376,Neufahrn b.Freising,49
19,85307,Paunzhausen,1
20,84104,Rudelzhausen,6
21,85368,Wang,2
22,85395,Wolfersdorf,1
23,85406,Zolling,5
