,AGS,Gemeinde/Stadt,Pos in Qua
0,85391,Allershausen,15
1,85395,Attenkirchen,4
2,84072,Au i.d.Hallertau,25
3,85386,Eching – Oberbayern,54
4,85777,Fahrenzhausen,9
5,85356,Freising,165
6,85408,Gammelsdorf,12
7,85410,Haag a.d.Amper,7
8,85399,Hallbergmoos,37
9,85411,Hohenkammer,28
10,85413,Hörgertshausen,2
11,85414,Kirchdorf a.d.Amper,8
12,85402,Kranzberg,10
13,85416,Langenbach,16
14,85417,Marzling,8
15,85419,Mauern,13
16,85368,Moosburg a.d.Isar,54
17,85405,Nandlstadt,18
18,85376,Neufahrn b.Freising,71
19,85307,Paunzhausen,5
20,84104,Rudelzhausen,12
21,85368,Wang,6
22,85395,Wolfersdorf,0
23,85406,Zolling,4
