,Gemeinde/Stadt,Pos in Qua
0,Allershausen,1
1,Attenkirchen,1
2,Au i.d.Hallertau,3
3,Eching – Oberbayern,1
4,Fahrenzhausen,1
5,Freising,7
6,Gammelsdorf,3
7,Haag a.d.Amper,0
8,Hallbergmoos,0
9,Hohenkammer,2
10,Hörgertshausen,0
11,Kirchdorf a.d.Amper,0
12,Kranzberg,1
13,Langenbach,0
14,Marzling,1
15,Mauern,0
16,Moosburg a.d.Isar,2
17,Nandlstadt,0
18,Neufahrn b.Freising,11
19,Paunzhausen,0
20,Rudelzhausen,1
21,Wang,3
22,Wolfersdorf,0
23,Zolling,3
