,AGS,Gemeinde/Stadt,Pos in Qua
0,85391,Allershausen,20
1,85395,Attenkirchen,9
2,84072,Au i.d.Hallertau,31
3,85386,Eching – Oberbayern,54
4,85777,Fahrenzhausen,10
5,85356,Freising,119
6,85408,Gammelsdorf,3
7,85410,Haag a.d.Amper,4
8,85399,Hallbergmoos,26
9,85411,Hohenkammer,4
10,85413,Hörgertshausen,5
11,85414,Kirchdorf a.d.Amper,18
12,85402,Kranzberg,13
13,85416,Langenbach,11
14,85417,Marzling,7
15,85419,Mauern,2
16,85368,Moosburg a.d.Isar,58
17,85405,Nandlstadt,8
18,85376,Neufahrn b.Freising,122
19,85307,Paunzhausen,9
20,84104,Rudelzhausen,16
21,85368,Wang,2
22,85395,Wolfersdorf,12
23,85406,Zolling,12
