,AGS,Gemeinde/Stadt,Pos in Qua
0,85391,Allershausen,44
1,85395,Attenkirchen,46
2,84072,Au i.d.Hallertau,122
3,85386,Eching – Oberbayern,118
4,85777,Fahrenzhausen,96
5,85356,Freising,378
6,85408,Gammelsdorf,22
7,85410,Haag a.d.Amper,22
8,85399,Hallbergmoos,121
9,85411,Hohenkammer,15
10,85413,Hörgertshausen,29
11,85414,Kirchdorf a.d.Amper,40
12,85402,Kranzberg,98
13,85416,Langenbach,24
14,85417,Marzling,34
15,85419,Mauern,55
16,85368,Moosburg a.d.Isar,181
17,85405,Nandlstadt,62
18,85376,Neufahrn b.Freising,227
19,85307,Paunzhausen,15
20,84104,Rudelzhausen,41
21,85368,Wang,33
22,85395,Wolfersdorf,50
23,85406,Zolling,70
