,AGS,Gemeinde/Stadt,Pos in Qua
0,85391,Allershausen,26
1,85395,Attenkirchen,37
2,84072,Au i.d.Hallertau,79
3,85386,Eching – Oberbayern,116
4,85777,Fahrenzhausen,45
5,85356,Freising,283
6,85408,Gammelsdorf,6
7,85410,Haag a.d.Amper,21
8,85399,Hallbergmoos,77
9,85411,Hohenkammer,8
10,85413,Hörgertshausen,17
11,85414,Kirchdorf a.d.Amper,43
12,85402,Kranzberg,51
13,85416,Langenbach,22
14,85417,Marzling,38
15,85419,Mauern,17
16,85368,Moosburg a.d.Isar,146
17,85405,Nandlstadt,27
18,85376,Neufahrn b.Freising,140
19,85307,Paunzhausen,13
20,84104,Rudelzhausen,29
21,85368,Wang,13
22,85395,Wolfersdorf,25
23,85406,Zolling,28
