,Gemeinde/Stadt,Pos in Qua
0,Allershausen,8
1,Attenkirchen,3
2,Au i.d.Hallertau,12
3,Eching – Oberbayern,34
4,Fahrenzhausen,3
5,Freising,131
6,Gammelsdorf,5
7,Haag a.d.Amper,2
8,Hallbergmoos,26
9,Hohenkammer,1
10,Hörgertshausen,3
11,Kirchdorf a.d.Amper,6
12,Kranzberg,1
13,Langenbach,1
14,Marzling,4
15,Mauern,0
16,Moosburg a.d.Isar,43
17,Nandlstadt,12
18,Neufahrn b.Freising,31
19,Paunzhausen,1
20,Rudelzhausen,14
21,Wang,1
22,Wolfersdorf,4
23,Zolling,26
