,Gesamtfallzahlen
Bedburg-Hau,522
Emmerich,1398
Geldern,1571
Goch,1173
Issum,449
Kalkar,418
Kerken,376
Kevelaer,1093
Kleve,2007
Kranenburg,500
Rees,721
Rheurdt,183
Straelen,673
Uedem,202
Wachtendonk,278
Weeze,561
