,Gesamtfallzahlen
Bedburg-Hau,532
Emmerich,1409
Geldern,1622
Goch,1193
Issum,454
Kalkar,426
Kerken,378
Kevelaer,1109
Kleve,2039
Kranenburg,505
Rees,723
Rheurdt,185
Straelen,681
Uedem,203
Wachtendonk,278
Weeze,563
