,Gesamtfallzahlen
Bedburg-Hau,641
Emmerich,1684
Geldern,2144
Goch,1589
Issum,568
Kalkar,683
Kerken,507
Kevelaer,1414
Kleve,2604
Kranenburg,602
Rees,936
Rheurdt,230
Straelen,882
Uedem,296
Wachtendonk,361
Weeze,724
