,Gesamtfallzahlen
Bedburg-Hau,503
Emmerich,1329
Geldern,1505
Goch,1125
Issum,436
Kalkar,395
Kerken,360
Kevelaer,1047
Kleve,1880
Kranenburg,482
Rees,695
Rheurdt,173
Straelen,644
Uedem,199
Wachtendonk,272
Weeze,541
