,Gesamtfallzahlen
Bedburg-Hau,735
Emmerich,2013
Geldern,2609
Goch,1899
Issum,699
Kalkar,842
Kerken,633
Kevelaer,1670
Kleve,3123
Kranenburg,689
Rees,1164
Rheurdt,266
Straelen,1103
Uedem,368
Wachtendonk,452
Weeze,848
