,Gesamtfallzahlen
Bedburg-Hau,828
Emmerich,2324
Geldern,2876
Goch,2192
Issum,786
Kalkar,990
Kerken,782
Kevelaer,1944
Kleve,3666
Kranenburg,786
Rees,1278
Rheurdt,338
Straelen,1258
Uedem,420
Wachtendonk,566
Weeze,998
