,Gesamtfallzahlen
Bedburg-Hau,715
Emmerich,1899
Geldern,2448
Goch,1769
Issum,658
Kalkar,784
Kerken,594
Kevelaer,1595
Kleve,2957
Kranenburg,665
Rees,1110
Rheurdt,256
Straelen,1040
Uedem,345
Wachtendonk,421
Weeze,798
