,Gesamtfallzahlen
Bedburg-Hau,572
Emmerich,1466
Geldern,1852
Goch,1272
Issum,481
Kalkar,469
Kerken,409
Kevelaer,1203
Kleve,2222
Kranenburg,523
Rees,743
Rheurdt,194
Straelen,730
Uedem,234
Wachtendonk,285
Weeze,590
