,Gesamtfallzahlen
Bedburg-Hau,691
Emmerich,1800
Geldern,2303
Goch,1682
Issum,623
Kalkar,733
Kerken,546
Kevelaer,1500
Kleve,2806
Kranenburg,640
Rees,1058
Rheurdt,248
Straelen,955
Uedem,328
Wachtendonk,385
Weeze,760
