,Gesamtfallzahlen
Bedburg-Hau,468
Emmerich,1306
Geldern,1493
Goch,1092
Issum,430
Kalkar,384
Kerken,357
Kevelaer,1036
Kleve,1834
Kranenburg,471
Rees,696
Rheurdt,168
Straelen,640
Uedem,189
Wachtendonk,272
Weeze,538
