,Gesamtfallzahlen
Bedburg-Hau,559
Emmerich,1458
Geldern,1821
Goch,1251
Issum,478
Kalkar,462
Kerken,396
Kevelaer,1190
Kleve,2193
Kranenburg,520
Rees,737
Rheurdt,191
Straelen,725
Uedem,231
Wachtendonk,283
Weeze,587
