,Gesamtfallzahlen
Bedburg-Hau,1363
Emmerich,3766
Geldern,4901
Goch,3573
Issum,1427
Kalkar,2016
Kerken,1450
Kevelaer,3466
Kleve,6237
Kranenburg,1283
Rees,2505
Rheurdt,700
Straelen,2409
Uedem,844
Wachtendonk,1060
Weeze,1700
