,Gesamtfallzahlen
Bedburg-Hau,1200
Emmerich,3314
Geldern,4215
Goch,3107
Issum,1189
Kalkar,1744
Kerken,1249
Kevelaer,3045
Kleve,5526
Kranenburg,1144
Rees,1964
Rheurdt,548
Straelen,2059
Uedem,730
Wachtendonk,950
Weeze,1493
