,Gesamtfallzahlen
Bedburg-Hau,838
Emmerich,2346
Geldern,2901
Goch,2204
Issum,798
Kalkar,996
Kerken,787
Kevelaer,1977
Kleve,3694
Kranenburg,790
Rees,1288
Rheurdt,344
Straelen,1271
Uedem,425
Wachtendonk,572
Weeze,1019
