,Gesamtfallzahlen
Bedburg-Hau,469
Emmerich,1303
Geldern,1492
Goch,1091
Issum,430
Kalkar,381
Kerken,357
Kevelaer,1034
Kleve,1843
Kranenburg,470
Rees,694
Rheurdt,168
Straelen,637
Uedem,189
Wachtendonk,271
Weeze,537
