,Gesamtfallzahlen
Bedburg-Hau,534
Emmerich,1418
Geldern,1674
Goch,1205
Issum,456
Kalkar,427
Kerken,378
Kevelaer,1120
Kleve,2063
Kranenburg,507
Rees,726
Rheurdt,187
Straelen,690
Uedem,208
Wachtendonk,279
Weeze,565
