,Gesamtfallzahlen
Bedburg-Hau,517
Emmerich,1386
Geldern,1541
Goch,1146
Issum,448
Kalkar,408
Kerken,370
Kevelaer,1076
Kleve,1962
Kranenburg,494
Rees,715
Rheurdt,178
Straelen,657
Uedem,201
Wachtendonk,274
Weeze,558
