,Gesamtfallzahlen
Bedburg-Hau,465
Emmerich,1282
Geldern,1491
Goch,1090
Issum,426
Kalkar,377
Kerken,355
Kevelaer,1032
Kleve,1814
Kranenburg,469
Rees,693
Rheurdt,168
Straelen,636
Uedem,188
Wachtendonk,273
Weeze,537
