,Gesamtfallzahlen
Bedburg-Hau,748
Emmerich,2064
Geldern,2645
Goch,1946
Issum,709
Kalkar,871
Kerken,646
Kevelaer,1686
Kleve,3238
Kranenburg,700
Rees,1174
Rheurdt,286
Straelen,1135
Uedem,373
Wachtendonk,467
Weeze,862
