,Gesamtfallzahlen
Bedburg-Hau,780
Emmerich,2142
Geldern,2715
Goch,2044
Issum,731
Kalkar,905
Kerken,690
Kevelaer,1750
Kleve,3367
Kranenburg,725
Rees,1200
Rheurdt,300
Straelen,1157
Uedem,381
Wachtendonk,501
Weeze,876
