,Gesamtfallzahlen
Bedburg-Hau,469
Emmerich,1306
Geldern,1492
Goch,1091
Issum,430
Kalkar,383
Kerken,357
Kevelaer,1035
Kleve,1840
Kranenburg,470
Rees,696
Rheurdt,168
Straelen,637
Uedem,189
Wachtendonk,272
Weeze,538
