,Gesamtfallzahlen
Bedburg-Hau,471
Emmerich,1303
Geldern,1494
Goch,1092
Issum,429
Kalkar,381
Kerken,360
Kevelaer,1033
Kleve,1848
Kranenburg,470
Rees,695
Rheurdt,168
Straelen,637
Uedem,191
Wachtendonk,271
Weeze,537
