,Gesamtfallzahlen
Bedburg-Hau,553
Emmerich,1453
Geldern,1806
Goch,1234
Issum,466
Kalkar,446
Kerken,392
Kevelaer,1170
Kleve,2134
Kranenburg,518
Rees,737
Rheurdt,191
Straelen,716
Uedem,217
Wachtendonk,282
Weeze,584
