,Gesamtfallzahlen
Bedburg-Hau,685
Emmerich,1784
Geldern,2281
Goch,1673
Issum,608
Kalkar,732
Kerken,537
Kevelaer,1485
Kleve,2783
Kranenburg,636
Rees,1048
Rheurdt,248
Straelen,940
Uedem,327
Wachtendonk,382
Weeze,758
