,Gesamtfallzahlen
Bedburg-Hau,596
Emmerich,1524
Geldern,1932
Goch,1359
Issum,498
Kalkar,516
Kerken,436
Kevelaer,1258
Kleve,2354
Kranenburg,536
Rees,766
Rheurdt,204
Straelen,752
Uedem,252
Wachtendonk,311
Weeze,617
