,Gesamtfallzahlen
Bedburg-Hau,708
Emmerich,1868
Geldern,2401
Goch,1743
Issum,646
Kalkar,767
Kerken,575
Kevelaer,1562
Kleve,2889
Kranenburg,654
Rees,1100
Rheurdt,255
Straelen,1005
Uedem,337
Wachtendonk,412
Weeze,785
