,Gesamtfallzahlen
Bedburg-Hau,1032
Emmerich,2897
Geldern,3611
Goch,2697
Issum,1014
Kalkar,1440
Kerken,1043
Kevelaer,2610
Kleve,4928
Kranenburg,984
Rees,1574
Rheurdt,453
Straelen,1681
Uedem,590
Wachtendonk,814
Weeze,1317
