,Gesamtfallzahlen
Bedburg-Hau,573
Emmerich,1468
Geldern,1853
Goch,1278
Issum,482
Kalkar,470
Kerken,410
Kevelaer,1203
Kleve,2230
Kranenburg,526
Rees,743
Rheurdt,194
Straelen,730
Uedem,234
Wachtendonk,286
Weeze,590
