,Gesamtfallzahlen
Bedburg-Hau,546
Emmerich,1437
Geldern,1781
Goch,1222
Issum,462
Kalkar,441
Kerken,384
Kevelaer,1151
Kleve,2118
Kranenburg,515
Rees,729
Rheurdt,188
Straelen,707
Uedem,212
Wachtendonk,279
Weeze,572
