,Gesamtfallzahlen
Bedburg-Hau,459
Emmerich,1255
Geldern,1481
Goch,1088
Issum,424
Kalkar,376
Kerken,350
Kevelaer,1022
Kleve,1802
Kranenburg,457
Rees,685
Rheurdt,168
Straelen,635
Uedem,188
Wachtendonk,271
Weeze,529
