,Gesamtfallzahlen
Bedburg-Hau,906
Emmerich,2596
Geldern,3281
Goch,2468
Issum,921
Kalkar,1263
Kerken,911
Kevelaer,2347
Kleve,4393
Kranenburg,869
Rees,1419
Rheurdt,391
Straelen,1476
Uedem,508
Wachtendonk,714
Weeze,1224
