,Gesamtfallzahlen
Bedburg-Hau,557
Emmerich,1457
Geldern,1817
Goch,1242
Issum,475
Kalkar,462
Kerken,394
Kevelaer,1186
Kleve,2180
Kranenburg,519
Rees,737
Rheurdt,191
Straelen,723
Uedem,229
Wachtendonk,283
Weeze,587
