,Gesamtfallzahlen
Bedburg-Hau,554
Emmerich,1455
Geldern,1811
Goch,1235
Issum,469
Kalkar,457
Kerken,392
Kevelaer,1177
Kleve,2144
Kranenburg,518
Rees,737
Rheurdt,191
Straelen,719
Uedem,220
Wachtendonk,282
Weeze,587
