,Gesamtfallzahlen
Bedburg-Hau,813
Emmerich,2256
Geldern,2802
Goch,2122
Issum,760
Kalkar,965
Kerken,762
Kevelaer,1858
Kleve,3553
Kranenburg,767
Rees,1249
Rheurdt,327
Straelen,1219
Uedem,406
Wachtendonk,538
Weeze,937
