,Gesamtfallzahlen
Bedburg-Hau,634
Emmerich,1666
Geldern,2101
Goch,1555
Issum,560
Kalkar,653
Kerken,495
Kevelaer,1402
Kleve,2575
Kranenburg,597
Rees,909
Rheurdt,226
Straelen,869
Uedem,295
Wachtendonk,351
Weeze,710
